Best Prec @1 Accy,Accuracy of Class 0,Accuracy of Class 1,Accuracy of Class 2,Accuracy of Class 3,Accuracy of Class 4,Accuracy of Class 5,Accuracy of Class 6,Accuracy of Class 7,Accuracy of Class 8,Accuracy of Class 9,batch_size,shuffle,learning_rate,reg,momentum,loss_type,save_best,beta,dataset
0.5175555348396301,0.9397869110107422,0.019201228395104408,0.26467758417129517,,,,,,,,16,True,0.0001,0.001,0.99,Focal,True,0.99,ASSAULT
0.5271739363670349,0.9324509501457214,0.02250562608242035,0.3271375596523285,,,,,,,,16,True,0.0001,0.05,0.99,Focal,True,0.999,ASSAULT
0.5121738910675049,0.9411227703094482,0.00600150041282177,0.26579925417900085,,,,,,,,16,True,0.0001,0.05,0.99,Focal,True,0.995,ASSAULT
0.5441304445266724,0.915107250213623,0.013503375463187695,0.44609665870666504,,,,,,,,16,True,0.0001,0.05,0.99,Focal,True,0.99,ASSAULT
0.373913049697876,0.32976973056793213,0.6133333444595337,0.009126466698944569,0.38275861740112305,0.46820810437202454,0.0,,,,,4,True,0.001,0.0005,0.9,Focal,True,0.999,BATTERY
0.3700000047683716,0.35773026943206787,0.5766666531562805,0.00782268587499857,0.3379310369491577,0.5298651456832886,0.0,,,,,4,True,0.001,0.0005,0.9,Focal,True,0.995,BATTERY
0.3793478310108185,0.3700657784938812,0.5924999713897705,0.020860495045781136,0.36206895112991333,0.4874759018421173,0.0,,,,,4,True,0.001,0.0005,0.9,Focal,True,0.99,BATTERY
0.37043479084968567,0.3478618562221527,0.5958333611488342,0.01434159092605114,0.3333333432674408,0.510597288608551,0.0,,,,,4,True,0.001,0.001,0.9,Focal,True,0.999,BATTERY
0.3718681335449219,0.3110910654067993,0.6015625,0.03576341271400452,0.32608696818351746,0.537617564201355,0.0,,,,,4,True,0.001,0.001,0.9,Focal,True,0.995,BATTERY
0.3745652139186859,0.39638158679008484,0.5483333468437195,0.00782268587499857,0.36321839690208435,0.5028901696205139,0.0,,,,,4,True,0.001,0.001,0.9,Focal,True,0.99,BATTERY
0.36681318283081055,0.028288543224334717,0.7347561120986938,0.012755102477967739,0.36958613991737366,0.5757575631141663,0.0,,,,,4,True,0.001,0.05,0.9,Focal,True,0.999,BATTERY
